sym,date,open,high,low,close,volume,open_interest
a,2021-01-04,5788.0,5825.0,5708.0,5735.0,125936.0,103050.0
a,2021-01-05,5734.0,5789.0,5654.0,5772.0,192208.0,101453.0
a,2021-01-06,5780.0,5840.0,5750.0,5837.0,184977.0,109392.0
a,2021-01-07,5840.0,5862.0,5798.0,5823.0,113831.0,104306.0
a,2021-01-08,5816.0,5883.0,5811.0,5833.0,146729.0,104305.0
a,2021-01-11,5843.0,5973.0,5820.0,5943.0,212996.0,109602.0
a,2021-01-12,5943.0,5948.0,5825.0,5855.0,169694.0,105977.0
a,2021-01-13,5864.0,5975.0,5814.0,5834.0,185247.0,106017.0
a,2021-01-14,5842.0,5849.0,5634.0,5655.0,272697.0,106080.0
a,2021-01-15,5655.0,5764.0,5651.0,5685.0,147820.0,98273.0
a,2021-01-18,5681.0,5773.0,5629.0,5759.0,175067.0,95287.0
a,2021-01-19,5759.0,5823.0,5753.0,5793.0,162965.0,101552.0
a,2021-01-20,5792.0,5806.0,5609.0,5661.0,222374.0,103519.0
a,2021-01-21,5650.0,5802.0,5641.0,5797.0,209578.0,100634.0
a,2021-01-22,5806.0,5806.0,5704.0,5738.0,172652.0,95564.0
a,2021-01-25,5732.0,5732.0,5578.0,5593.0,225618.0,104667.0
a,2021-01-26,5593.0,5693.0,5590.0,5631.0,140750.0,99092.0
a,2021-01-27,5651.0,5684.0,5630.0,5647.0,139402.0,97595.0
a,2021-01-28,5665.0,5712.0,5574.0,5661.0,209177.0,92400.0
a,2021-01-29,5683.0,5717.0,5594.0,5701.0,204122.0,94959.0
a,2021-02-01,5698.0,5736.0,5607.0,5618.0,194309.0,100061.0
a,2021-02-02,5616.0,5628.0,5541.0,5546.0,172973.0,116723.0
a,2021-02-03,5539.0,5582.0,5448.0,5570.0,226212.0,113489.0
a,2021-02-04,5567.0,5622.0,5534.0,5620.0,171949.0,102982.0
a,2021-02-05,5619.0,5772.0,5616.0,5770.0,203551.0,101987.0
a,2021-02-08,5771.0,5771.0,5723.0,5753.0,124887.0,96287.0
a,2021-02-09,5762.0,5871.0,5722.0,5846.0,169621.0,96976.0
a,2021-02-10,5841.0,5844.0,5771.0,5797.0,113646.0,85901.0
a,2021-02-18,5775.0,5899.0,5771.0,5853.0,105035.0,90041.0
a,2021-02-19,5854.0,5892.0,5804.0,5889.0,116751.0,97682.0
a,2021-02-22,5905.0,5925.0,5787.0,5845.0,165986.0,93210.0
a,2021-02-23,5825.0,5963.0,5825.0,5906.0,200754.0,98895.0
a,2021-02-24,5904.0,5985.0,5893.0,5951.0,169163.0,110631.0
a,2021-02-25,5967.0,5986.0,5919.0,5951.0,134045.0,110592.0
a,2021-02-26,5952.0,5973.0,5817.0,5837.0,212109.0,105700.0
a,2021-03-01,5840.0,5998.0,5830.0,5980.0,205038.0,118999.0
a,2021-03-02,5998.0,6034.0,5930.0,6029.0,207812.0,131583.0
a,2021-03-03,6036.0,6217.0,6036.0,6188.0,280074.0,152511.0
a,2021-03-04,6191.0,6249.0,6149.0,6205.0,204220.0,150473.0
a,2021-03-05,6210.0,6268.0,6173.0,6225.0,219604.0,152494.0
a,2021-03-08,6235.0,6314.0,6119.0,6165.0,319296.0,124249.0
a,2021-03-09,6159.0,6162.0,6068.0,6101.0,170144.0,112851.0
a,2021-03-10,6097.0,6148.0,6035.0,6086.0,178913.0,109605.0
a,2021-03-11,6076.0,6113.0,5988.0,6072.0,198727.0,107508.0
a,2021-03-12,6071.0,6096.0,6003.0,6067.0,155997.0,107643.0
a,2021-03-15,6056.0,6067.0,5888.0,5931.0,221161.0,105582.0
a,2021-03-16,5923.0,5970.0,5851.0,5868.0,164985.0,103916.0
a,2021-03-17,5870.0,5891.0,5800.0,5823.0,161385.0,111934.0
a,2021-03-18,5812.0,5812.0,5645.0,5662.0,226644.0,128600.0
a,2021-03-19,5652.0,5759.0,5622.0,5677.0,259729.0,121570.0
a,2021-03-22,5676.0,5749.0,5662.0,5690.0,124142.0,122947.0
a,2021-03-23,5689.0,5795.0,5649.0,5775.0,174188.0,118313.0
a,2021-03-24,5766.0,5866.0,5751.0,5853.0,189777.0,113564.0
a,2021-03-25,5853.0,5865.0,5773.0,5792.0,174810.0,118582.0
a,2021-03-26,5790.0,5794.0,5533.0,5629.0,319155.0,134469.0
a,2021-03-29,5634.0,5681.0,5592.0,5664.0,155613.0,133078.0
a,2021-03-30,5658.0,5707.0,5620.0,5699.0,187413.0,131939.0
a,2021-03-31,5698.0,5761.0,5624.0,5712.0,257127.0,124732.0
a,2021-04-01,5712.0,5943.0,5710.0,5776.0,279246.0,118191.0
a,2021-04-02,5752.0,5795.0,5732.0,5758.0,153733.0,116225.0
a,2021-04-06,5747.0,5776.0,5594.0,5626.0,195521.0,122609.0
a,2021-04-07,5675.0,5679.0,5618.0,5636.0,140752.0,131109.0
a,2021-04-08,5635.0,5660.0,5580.0,5628.0,204786.0,135124.0
a,2021-04-09,5610.0,5633.0,5559.0,5585.0,190276.0,159930.0
a,2021-04-12,5584.0,5616.0,5475.0,5592.0,296898.0,158389.0
a,2021-04-13,5593.0,5775.0,5541.0,5764.0,336680.0,144106.0
a,2021-04-14,5771.0,5830.0,5724.0,5824.0,204299.0,137923.0
a,2021-04-15,5820.0,5854.0,5792.0,5850.0,170936.0,136071.0
a,2021-04-16,5856.0,5909.0,5837.0,5890.0,191327.0,134063.0
a,2021-04-19,5891.0,5918.0,5776.0,5813.0,245466.0,132923.0
a,2021-04-20,5810.0,5855.0,5720.0,5765.0,247208.0,131863.0
a,2021-04-21,5768.0,5840.0,5730.0,5749.0,199712.0,125125.0
a,2021-04-22,5751.0,5936.0,5721.0,5911.0,276967.0,136504.0
a,2021-04-23,5918.0,5994.0,5884.0,5956.0,205708.0,144574.0
a,2021-04-26,5959.0,6084.0,5917.0,5938.0,253057.0,140133.0
a,2021-04-27,5954.0,5971.0,5890.0,5913.0,169764.0,140514.0
a,2021-04-28,5928.0,5936.0,5841.0,5909.0,143524.0,138862.0
a,2021-04-29,5913.0,5956.0,5849.0,5898.0,191819.0,132114.0
a,2021-04-30,5902.0,5912.0,5801.0,5808.0,193386.0,131456.0
a,2021-05-06,5853.0,6065.0,5852.0,6044.0,185737.0,135675.0
a,2021-05-07,6062.0,6113.0,6041.0,6083.0,158456.0,140345.0
a,2021-05-10,6105.0,6194.0,6076.0,6103.0,237313.0,133795.0
a,2021-05-11,6113.0,6189.0,6081.0,6157.0,153382.0,139963.0
a,2021-05-12,6159.0,6267.0,6153.0,6258.0,196394.0,155136.0
a,2021-05-13,6249.0,6287.0,6165.0,6241.0,229231.0,150936.0
a,2021-05-14,6223.0,6241.0,6101.0,6192.0,242609.0,146984.0
a,2021-05-17,6214.0,6261.0,6158.0,6203.0,211334.0,150539.0
a,2021-05-18,6202.0,6227.0,6179.0,6189.0,139985.0,148835.0
a,2021-05-19,6191.0,6195.0,6091.0,6104.0,184605.0,147119.0
a,2021-05-20,6075.0,6075.0,5937.0,5986.0,240162.0,146351.0
a,2021-05-21,5963.0,5981.0,5888.0,5917.0,198886.0,143871.0
a,2021-05-24,5919.0,5937.0,5833.0,5869.0,184207.0,144302.0
a,2021-05-25,5841.0,5989.0,5840.0,5862.0,235135.0,154112.0
a,2021-05-26,5846.0,5857.0,5722.0,5728.0,217673.0,170215.0
a,2021-05-27,5717.0,5775.0,5665.0,5686.0,179765.0,174563.0
a,2021-05-28,5690.0,5803.0,5678.0,5713.0,187031.0,171073.0
a,2021-05-31,5685.0,5800.0,5665.0,5714.0,247638.0,174710.0
a,2021-06-01,5722.0,5809.0,5691.0,5798.0,185276.0,169718.0
a,2021-06-02,5812.0,5888.0,5806.0,5862.0,176996.0,160383.0
a,2021-06-03,5869.0,5952.0,5862.0,5894.0,195965.0,150739.0
a,2021-06-04,5894.0,5924.0,5775.0,5893.0,212410.0,144348.0
a,2021-06-07,5912.0,5953.0,5878.0,5922.0,176421.0,141294.0
a,2021-06-08,5927.0,5936.0,5798.0,5838.0,211428.0,148185.0
a,2021-06-09,5835.0,5877.0,5783.0,5795.0,165377.0,155588.0
a,2021-06-10,5764.0,5795.0,5710.0,5723.0,230931.0,170237.0
a,2021-06-11,5711.0,5750.0,5686.0,5724.0,197107.0,177301.0
a,2021-06-15,5646.0,5687.0,5519.0,5644.0,260265.0,185851.0
a,2021-06-16,5652.0,5652.0,5585.0,5605.0,169853.0,193220.0
a,2021-06-17,5610.0,5699.0,5571.0,5686.0,213514.0,186714.0
a,2021-06-18,5671.0,5677.0,5521.0,5616.0,261321.0,177662.0
a,2021-06-21,5653.0,5695.0,5597.0,5664.0,184163.0,173113.0
a,2021-06-22,5667.0,5836.0,5645.0,5739.0,183772.0,161256.0
a,2021-06-23,5732.0,5781.0,5732.0,5771.0,138787.0,154560.0
a,2021-06-24,5751.0,5801.0,5638.0,5649.0,199602.0,166114.0
a,2021-06-25,5642.0,5675.0,5615.0,5633.0,158711.0,176966.0
a,2021-06-28,5621.0,5651.0,5541.0,5599.0,242701.0,194466.0
a,2021-06-29,5562.0,5569.0,5482.0,5549.0,323148.0,223476.0
a,2021-06-30,5560.0,5586.0,5540.0,5578.0,182183.0,230784.0
a,2021-07-01,5554.0,5724.0,5554.0,5674.0,280144.0,213643.0
a,2021-07-02,5717.0,5803.0,5701.0,5763.0,212075.0,202211.0
a,2021-07-05,5774.0,5865.0,5742.0,5845.0,224047.0,205440.0
a,2021-07-06,5868.0,5911.0,5862.0,5898.0,185455.0,201667.0
a,2021-07-07,5926.0,5932.0,5819.0,5891.0,220683.0,199921.0
a,2021-07-08,5888.0,5930.0,5851.0,5924.0,200403.0,201548.0
a,2021-07-09,5924.0,5972.0,5890.0,5959.0,244853.0,206513.0
a,2021-07-12,5970.0,5999.0,5895.0,5972.0,245447.0,203536.0
a,2021-07-13,5965.0,6007.0,5922.0,5953.0,201635.0,201475.0
a,2021-07-14,5965.0,5990.0,5896.0,5944.0,197991.0,196909.0
a,2021-07-15,5953.0,5953.0,5827.0,5848.0,210453.0,192831.0
a,2021-07-16,5850.0,5958.0,5832.0,5955.0,188366.0,194742.0
a,2021-07-19,5968.0,6011.0,5762.0,5762.0,264758.0,188308.0
a,2021-07-20,5775.0,5835.0,5683.0,5723.0,316827.0,198210.0
a,2021-07-21,5725.0,5758.0,5666.0,5686.0,188110.0,207537.0
a,2021-07-22,5690.0,5703.0,5652.0,5658.0,169883.0,218337.0
a,2021-07-23,5642.0,5729.0,5633.0,5707.0,192778.0,223628.0
a,2021-07-26,5702.0,5766.0,5664.0,5722.0,229081.0,221552.0
a,2021-07-27,5721.0,5814.0,5675.0,5771.0,262055.0,213947.0
a,2021-07-28,5765.0,5797.0,5718.0,5778.0,252269.0,211163.0
a,2021-07-29,5790.0,5792.0,5715.0,5744.0,198535.0,217714.0
a,2021-07-30,5741.0,5789.0,5670.0,5708.0,270450.0,237722.0
a,2021-08-02,5685.0,5753.0,5648.0,5740.0,267029.0,227596.0
a,2021-08-03,5744.0,5836.0,5717.0,5832.0,296588.0,206132.0
a,2021-08-04,5834.0,5869.0,5785.0,5859.0,224401.0,199036.0
a,2021-08-05,5880.0,5889.0,5821.0,5847.0,189288.0,191469.0
a,2021-08-06,5862.0,5884.0,5827.0,5841.0,228868.0,188546.0
a,2021-08-09,5853.0,5862.0,5709.0,5717.0,272203.0,203241.0
a,2021-08-10,5712.0,5759.0,5704.0,5708.0,160046.0,210601.0
a,2021-08-11,5706.0,5784.0,5703.0,5759.0,130529.0,203003.0
a,2021-08-12,5776.0,5800.0,5667.0,5671.0,213588.0,216115.0
a,2021-08-13,5674.0,5689.0,5639.0,5669.0,157365.0,224437.0
a,2021-08-16,5677.0,5856.0,5676.0,5850.0,330529.0,194972.0
a,2021-08-17,5836.0,5876.0,5771.0,5846.0,267506.0,189193.0
a,2021-08-18,5845.0,5857.0,5813.0,5842.0,163209.0,184647.0
a,2021-08-19,5851.0,5869.0,5795.0,5844.0,174558.0,183056.0
a,2021-08-20,5821.0,5822.0,5642.0,5646.0,309745.0,222006.0
a,2021-08-23,5617.0,5679.0,5608.0,5670.0,196529.0,242065.0
a,2021-08-24,5669.0,5824.0,5666.0,5816.0,275932.0,208353.0
a,2021-08-25,5836.0,5889.0,5810.0,5880.0,227491.0,205861.0
a,2021-08-26,5889.0,5915.0,5853.0,5898.0,171502.0,218911.0
a,2021-08-27,5900.0,5924.0,5833.0,5883.0,193318.0,222492.0
a,2021-08-30,5884.0,5889.0,5752.0,5764.0,233495.0,203049.0
a,2021-08-31,5765.0,5778.0,5720.0,5759.0,156686.0,207080.0
a,2021-09-01,5736.0,5773.0,5717.0,5720.0,158661.0,214216.0
a,2021-09-02,5721.0,5789.0,5721.0,5758.0,193762.0,216332.0
a,2021-09-03,5757.0,5876.0,5745.0,5865.0,220489.0,222963.0
a,2021-09-06,5876.0,5884.0,5813.0,5848.0,160473.0,217154.0
a,2021-09-07,5849.0,5868.0,5817.0,5824.0,170406.0,215586.0
a,2021-09-08,5825.0,5839.0,5768.0,5829.0,210760.0,210013.0
a,2021-09-09,5829.0,5899.0,5814.0,5882.0,230655.0,227058.0
a,2021-09-10,5878.0,5916.0,5842.0,5915.0,187952.0,234100.0
a,2021-09-13,5928.0,5954.0,5892.0,5921.0,222184.0,233961.0
a,2021-09-14,5921.0,5929.0,5859.0,5881.0,208979.0,231430.0
a,2021-09-15,5884.0,5933.0,5833.0,5857.0,228003.0,226354.0
a,2021-09-16,5855.0,5949.0,5848.0,5941.0,238880.0,237475.0
a,2021-09-17,5949.0,5978.0,5916.0,5958.0,197700.0,239836.0
a,2021-09-22,5950.0,5991.0,5910.0,5963.0,173690.0,246231.0
a,2021-09-23,5965.0,6031.0,5930.0,6025.0,244712.0,259254.0
a,2021-09-24,6019.0,6071.0,5986.0,6066.0,192506.0,263771.0
a,2021-09-27,6062.0,6078.0,5907.0,5913.0,271990.0,234661.0
a,2021-09-28,5915.0,5933.0,5884.0,5926.0,176134.0,223839.0
a,2021-09-29,5927.0,5967.0,5913.0,5944.0,160746.0,206541.0
a,2021-09-30,5947.0,5979.0,5915.0,5927.0,198374.0,188035.0
a,2021-10-08,5956.0,6225.0,5956.0,6147.0,249540.0,207301.0
a,2021-10-11,6155.0,6210.0,6155.0,6200.0,180861.0,215300.0
a,2021-10-12,6198.0,6227.0,6165.0,6202.0,177064.0,220824.0
a,2021-10-13,6199.0,6199.0,6131.0,6148.0,214925.0,212742.0
a,2021-10-14,6135.0,6154.0,6032.0,6049.0,234960.0,203558.0
a,2021-10-15,6044.0,6073.0,6006.0,6062.0,190686.0,201376.0
a,2021-10-18,6055.0,6102.0,6021.0,6046.0,183187.0,196349.0
a,2021-10-19,6040.0,6067.0,5995.0,6007.0,167920.0,194733.0
a,2021-10-20,6004.0,6019.0,5976.0,6001.0,136883.0,190946.0
a,2021-10-21,5994.0,6167.0,5989.0,6161.0,243142.0,203915.0
a,2021-10-22,6163.0,6193.0,6116.0,6140.0,169660.0,202139.0
a,2021-10-25,6142.0,6239.0,6089.0,6202.0,206549.0,222263.0
a,2021-10-26,6195.0,6259.0,6166.0,6170.0,205810.0,221603.0
a,2021-10-27,6168.0,6184.0,6134.0,6166.0,152321.0,208283.0
a,2021-10-28,6172.0,6195.0,6120.0,6145.0,183934.0,198809.0
a,2021-10-29,6142.0,6265.0,6135.0,6239.0,202916.0,219145.0
a,2021-11-01,6245.0,6301.0,6229.0,6275.0,209709.0,227670.0
a,2021-11-02,6282.0,6318.0,6247.0,6271.0,191475.0,225790.0
a,2021-11-03,6284.0,6354.0,6253.0,6317.0,199770.0,232897.0
a,2021-11-04,6317.0,6433.0,6309.0,6415.0,236084.0,258188.0
a,2021-11-05,6414.0,6504.0,6398.0,6496.0,256228.0,272779.0
a,2021-11-08,6496.0,6496.0,6288.0,6344.0,346454.0,228485.0
a,2021-11-09,6339.0,6358.0,6258.0,6341.0,239742.0,219855.0
a,2021-11-10,6342.0,6458.0,6337.0,6440.0,267885.0,234561.0
a,2021-11-11,6439.0,6486.0,6412.0,6438.0,196110.0,233718.0
a,2021-11-12,6442.0,6456.0,6386.0,6416.0,191413.0,223604.0
a,2021-11-15,6418.0,6457.0,6373.0,6374.0,195581.0,218455.0
a,2021-11-16,6371.0,6390.0,6295.0,6386.0,192776.0,216950.0
a,2021-11-17,6379.0,6389.0,6272.0,6272.0,173139.0,215017.0
a,2021-11-18,6270.0,6368.0,6269.0,6348.0,179914.0,212067.0
a,2021-11-19,6350.0,6351.0,6269.0,6270.0,161031.0,209611.0
a,2021-11-22,6258.0,6322.0,6225.0,6240.0,213621.0,201786.0
a,2021-11-23,6238.0,6242.0,6162.0,6167.0,185003.0,203182.0
a,2021-11-24,6165.0,6200.0,6139.0,6183.0,155611.0,200397.0
a,2021-11-25,6177.0,6186.0,6104.0,6177.0,182692.0,201908.0
a,2021-11-26,6173.0,6230.0,6165.0,6191.0,189325.0,193888.0
a,2021-11-29,6172.0,6178.0,6079.0,6091.0,240242.0,215563.0
a,2021-11-30,6067.0,6137.0,6067.0,6093.0,151598.0,213120.0
a,2021-12-01,6104.0,6140.0,6037.0,6115.0,226769.0,203736.0
a,2021-12-02,6097.0,6139.0,6055.0,6073.0,214999.0,206210.0
a,2021-12-03,6072.0,6109.0,6053.0,6060.0,188474.0,209451.0
a,2021-12-06,6041.0,6081.0,6005.0,6008.0,214281.0,218600.0
a,2021-12-07,6023.0,6145.0,6022.0,6063.0,289733.0,193874.0
a,2021-12-08,6051.0,6051.0,5977.0,5978.0,225492.0,217788.0
a,2021-12-09,5976.0,6001.0,5963.0,5996.0,170936.0,221081.0
a,2021-12-10,5980.0,5980.0,5904.0,5912.0,202564.0,238100.0
a,2021-12-13,5906.0,5986.0,5904.0,5942.0,206048.0,225163.0
a,2021-12-14,5923.0,5966.0,5906.0,5913.0,171957.0,233851.0
a,2021-12-15,5914.0,5930.0,5865.0,5905.0,165131.0,240387.0
a,2021-12-16,5901.0,5987.0,5877.0,5976.0,229350.0,217309.0
a,2021-12-17,5977.0,6016.0,5949.0,5982.0,204713.0,204528.0
a,2021-12-20,5978.0,6066.0,5970.0,6025.0,213137.0,191717.0
a,2021-12-21,6021.0,6032.0,5950.0,5952.0,198343.0,198993.0
a,2021-12-22,5954.0,5984.0,5923.0,5931.0,183189.0,206716.0
a,2021-12-23,5923.0,5991.0,5907.0,5972.0,157186.0,201645.0
a,2021-12-24,5966.0,5966.0,5900.0,5903.0,170429.0,223783.0
a,2021-12-27,5895.0,6003.0,5851.0,5981.0,289902.0,208067.0
a,2021-12-28,5992.0,6044.0,5967.0,6030.0,208711.0,199289.0
a,2021-12-29,6029.0,6029.0,5878.0,5884.0,301090.0,229528.0
a,2021-12-30,5881.0,5896.0,5853.0,5883.0,210240.0,254199.0
a,2021-12-31,5873.0,5902.0,5859.0,5886.0,173715.0,247683.0
a,2022-01-04,5869.0,5872.0,5727.0,5852.0,251040.0,242140.0
a,2022-01-05,5848.0,5901.0,5829.0,5885.0,187508.0,227325.0
a,2022-01-06,5889.0,5931.0,5843.0,5855.0,219398.0,220122.0
a,2022-01-07,5866.0,5902.0,5859.0,5873.0,156123.0,214535.0
a,2022-01-10,5873.0,5883.0,5784.0,5823.0,211588.0,228172.0
a,2022-01-11,5825.0,5835.0,5771.0,5781.0,154366.0,242059.0
a,2022-01-12,5784.0,5791.0,5739.0,5778.0,190407.0,260044.0
a,2022-01-13,5762.0,5773.0,5727.0,5733.0,154895.0,283837.0
a,2022-01-14,5727.0,5782.0,5698.0,5782.0,213086.0,263487.0
a,2022-01-17,5781.0,5831.0,5774.0,5826.0,169895.0,243980.0
a,2022-01-18,5828.0,5867.0,5817.0,5852.0,127792.0,235874.0
a,2022-01-19,5848.0,5902.0,5819.0,5892.0,163327.0,219731.0
a,2022-01-20,5905.0,5966.0,5897.0,5963.0,160174.0,206561.0
a,2022-01-21,5974.0,6005.0,5959.0,6002.0,168466.0,201184.0
a,2022-01-24,6006.0,6106.0,5984.0,6083.0,233885.0,204094.0
a,2022-01-25,6079.0,6124.0,6069.0,6119.0,199106.0,204382.0
a,2022-01-26,6123.0,6220.0,6122.0,6203.0,247901.0,199361.0
a,2022-01-27,6174.0,6205.0,6114.0,6172.0,231672.0,178429.0
a,2022-01-28,6187.0,6238.0,6160.0,6180.0,174825.0,164317.0
a,2022-02-07,6269.0,6340.0,6175.0,6179.0,175815.0,169802.0
a,2022-02-08,6235.0,6271.0,6203.0,6225.0,187557.0,166014.0
a,2022-02-09,6228.0,6280.0,6158.0,6267.0,299387.0,190114.0
a,2022-02-10,6273.0,6277.0,6209.0,6244.0,150212.0,190072.0
a,2022-02-11,6257.0,6318.0,6193.0,6239.0,276149.0,193820.0
a,2022-02-14,6254.0,6267.0,6193.0,6201.0,156611.0,187732.0
a,2022-02-15,6187.0,6219.0,6131.0,6162.0,181261.0,190348.0
a,2022-02-16,6150.0,6150.0,6062.0,6080.0,144233.0,185516.0
a,2022-02-17,6079.0,6134.0,6056.0,6094.0,161233.0,180481.0
a,2022-02-18,6086.0,6086.0,6026.0,6053.0,164536.0,173546.0
a,2022-02-21,6046.0,6120.0,6026.0,6046.0,171615.0,181418.0
a,2022-02-22,6050.0,6109.0,6007.0,6055.0,177069.0,165746.0
a,2022-02-23,6028.0,6055.0,5991.0,6046.0,143114.0,161335.0
a,2022-02-24,6032.0,6139.0,5918.0,6128.0,351669.0,168922.0
a,2022-02-25,6212.0,6396.0,6124.0,6168.0,328745.0,182420.0
a,2022-02-28,6137.0,6144.0,5993.0,6021.0,232188.0,169002.0
a,2022-03-01,6020.0,6228.0,6016.0,6206.0,200511.0,181701.0
a,2022-03-02,6214.0,6260.0,6167.0,6238.0,203609.0,176306.0
a,2022-03-03,6236.0,6293.0,6213.0,6268.0,142927.0,182784.0
a,2022-03-04,6248.0,6273.0,6126.0,6157.0,199265.0,172452.0
a,2022-03-07,6158.0,6211.0,6151.0,6181.0,156775.0,174783.0
a,2022-03-08,6158.0,6183.0,6040.0,6150.0,161192.0,169888.0
a,2022-03-09,6141.0,6295.0,6102.0,6268.0,204039.0,167482.0
a,2022-03-10,6257.0,6257.0,6126.0,6132.0,165812.0,152889.0
a,2022-03-11,6139.0,6206.0,6111.0,6129.0,136782.0,152978.0
a,2022-03-14,6126.0,6128.0,6068.0,6100.0,109126.0,152016.0
a,2022-03-15,6095.0,6201.0,6076.0,6157.0,143986.0,157789.0
a,2022-03-16,6159.0,6244.0,6096.0,6240.0,140245.0,161552.0
a,2022-03-17,6274.0,6276.0,6189.0,6235.0,112592.0,166412.0
a,2022-03-18,6252.0,6300.0,6154.0,6190.0,162717.0,166460.0
